id,time,value
2,2026:06:22 15:12:58,262.5
3,2026:06:22 15:12:58,726.9
1,2026:06:22 15:13:58,83.8
2,2026:06:22 15:13:58,229.6
3,2026:06:22 15:13:58,770.3
1,2026:06:22 15:14:58,340.0
2,2026:06:22 15:14:58,574.8
3,2026:06:22 15:14:58,701.0
1,2026:06:22 15:15:58,422.4
2,2026:06:22 15:15:58,798.3
3,2026:06:22 15:15:58,81.9
1,2026:06:22 15:16:58,322.1
2,2026:06:22 15:16:58,153.4
3,2026:06:22 15:16:58,206.9
1,2026:06:22 15:17:58,346.9
2,2026:06:22 15:17:58,251.7
3,2026:06:22 15:17:58,304.7
1,2026:06:22 15:18:58,104.6
2,2026:06:22 15:18:58,418.0
3,2026:06:22 15:18:58,426.6
1,2026:06:22 15:19:58,222.8
2,2026:06:22 15:19:58,219.6
3,2026:06:22 15:19:58,260.1
1,2026:06:22 15:20:58,263.0
2,2026:06:22 15:20:58,181.5
3,2026:06:22 15:20:58,583.5
1,2026:06:22 15:21:58,272.2
2,2026:06:22 15:21:58,516.7
3,2026:06:22 15:21:58,135.4
1,2026:06:22 15:22:58,456.6
2,2026:06:22 15:22:58,77.9
3,2026:06:22 15:22:58,534.7
1,2026:06:22 15:23:58,68.6
2,2026:06:22 15:23:58,132.4
3,2026:06:22 15:23:58,192.8
1,2026:06:22 15:24:58,184.6
2,2026:06:22 15:24:58,104.7
3,2026:06:22 15:24:58,407.1
1,2026:06:22 15:25:58,367.6
2,2026:06:22 15:25:58,236.3
3,2026:06:22 15:25:58,110.9
1,2026:06:22 15:26:58,596.0
2,2026:06:22 15:26:58,270.2
3,2026:06:22 15:26:58,541.0
1,2026:06:22 15:27:58,48.6
2,2026:06:22 15:27:58,326.3
3,2026:06:22 15:27:58,611.8
1,2026:06:22 15:28:58,105.8
2,2026:06:22 15:28:58,5.2
3,2026:06:22 15:28:58,541.3
1,2026:06:22 15:29:58,585.7
2,2026:06:22 15:29:58,502.9
3,2026:06:22 15:29:58,54.1
1,2026:06:22 15:30:58,519.7
2,2026:06:22 15:30:58,700.5
3,2026:06:22 15:30:58,104.4
1,2026:06:22 15:31:58,587.2
2,2026:06:22 15:31:58,217.5
3,2026:06:22 15:31:58,776.3
1,2026:06:22 15:32:58,730.9
2,2026:06:22 15:32:58,303.0
3,2026:06:22 15:32:58,12.1
1,2026:06:22 15:33:58,168.0
2,2026:06:22 15:33:58,263.9
3,2026:06:22 15:33:58,262.5
1,2026:06:22 15:34:58,332.8
2,2026:06:22 15:34:58,578.9
3,2026:06:22 15:34:58,12.7
1,2026:06:22 15:35:58,107.8
2,2026:06:22 15:35:58,310.0
3,2026:06:22 15:35:58,274.3
1,2026:06:22 15:36:58,113.2
2,2026:06:22 15:36:58,41.2
3,2026:06:22 15:36:58,744.3
1,2026:06:22 15:37:58,366.7
2,2026:06:22 15:37:58,477.3
3,2026:06:22 15:37:58,675.0
1,2026:06:22 15:38:58,735.7
2,2026:06:22 15:38:58,632.0
3,2026:06:22 15:38:58,457.3
1,2026:06:22 15:39:58,370.4
2,2026:06:22 15:39:58,665.9
3,2026:06:22 15:39:58,760.3
1,2026:06:22 15:40:58,186.9
2,2026:06:22 15:40:58,159.8
3,2026:06:22 15:40:58,304.3
1,2026:06:22 15:41:58,12.2
2,2026:06:22 15:41:58,233.6
3,2026:06:22 15:41:58,129.3
1,2026:06:22 15:42:58,195.6
2,2026:06:22 15:42:58,323.8
3,2026:06:22 15:42:58,122.8
1,2026:06:22 15:43:58,525.3
2,2026:06:22 15:43:58,658.8
3,2026:06:22 15:43:58,114.6
1,2026:06:22 15:44:58,634.5
2,2026:06:22 15:44:58,528.2
3,2026:06:22 15:44:58,542.1
1,2026:06:22 15:45:58,112.7
2,2026:06:22 15:45:58,73.0
3,2026:06:22 15:45:58,521.6
1,2026:06:22 15:46:58,536.2
2,2026:06:22 15:46:58,792.6
3,2026:06:22 15:46:58,723.6
1,2026:06:22 15:47:58,428.1
2,2026:06:22 15:47:58,123.9
3,2026:06:22 15:47:58,625.1
1,2026:06:22 15:48:58,36.8
2,2026:06:22 15:48:58,276.4
3,2026:06:22 15:48:58,169.7
1,2026:06:22 15:49:58,411.8
2,2026:06:22 15:49:58,359.6
3,2026:06:22 15:49:58,335.6
1,2026:06:22 15:50:58,339.1
2,2026:06:22 15:50:58,120.4
3,2026:06:22 15:50:58,55.5
1,2026:06:22 15:51:58,352.0
2,2026:06:22 15:51:58,79.3
3,2026:06:22 15:51:58,772.8
1,2026:06:22 15:52:58,632.2
2,2026:06:22 15:52:58,559.1
3,2026:06:22 15:52:58,653.7
1,2026:06:22 15:53:58,543.8
2,2026:06:22 15:53:58,606.9
3,2026:06:22 15:53:58,754.6
1,2026:06:22 15:54:58,387.4
2,2026:06:22 15:54:58,440.3
3,2026:06:22 15:54:58,21.9
1,2026:06:22 15:55:58,652.0
2,2026:06:22 15:55:58,620.1
3,2026:06:22 15:55:58,34.2
1,2026:06:22 15:56:58,436.4
2,2026:06:22 15:56:58,428.5
3,2026:06:22 15:56:58,657.4
1,2026:06:22 15:57:58,332.1
2,2026:06:22 15:57:58,762.0
3,2026:06:22 15:57:58,559.4
1,2026:06:22 15:58:58,508.5
2,2026:06:22 15:58:58,620.5
3,2026:06:22 15:58:58,666.2
1,2026:06:22 15:59:58,513.8
2,2026:06:22 15:59:58,599.6
3,2026:06:22 15:59:58,191.6
1,2026:06:22 16:00:58,139.9
2,2026:06:22 16:00:58,385.5
3,2026:06:22 16:00:58,67.1
1,2026:06:22 16:01:58,519.6
2,2026:06:22 16:01:58,397.4
3,2026:06:22 16:01:58,736.4
1,2026:06:22 16:02:58,729.3
2,2026:06:22 16:02:58,271.7
3,2026:06:22 16:02:58,78.6
1,2026:06:22 16:03:58,530.1
2,2026:06:22 16:03:58,126.3
3,2026:06:22 16:03:58,557.5
1,2026:06:22 16:04:58,609.2
2,2026:06:22 16:04:58,131.1
3,2026:06:22 16:04:58,43.7
1,2026:06:22 16:05:58,226.9
2,2026:06:22 16:05:58,628.8
3,2026:06:22 16:05:58,522.8
1,2026:06:22 16:06:58,43.1
2,2026:06:22 16:06:58,104.3
3,2026:06:22 16:06:58,9.5
1,2026:06:22 16:07:58,575.2
2,2026:06:22 16:07:58,546.9
3,2026:06:22 16:07:58,586.4
1,2026:06:22 16:08:58,44.0
2,2026:06:22 16:08:58,130.8
3,2026:06:22 16:08:58,164.0
1,2026:06:22 16:09:58,696.5
2,2026:06:22 16:09:58,247.6
3,2026:06:22 16:09:58,483.2
1,2026:06:22 16:10:58,145.4
2,2026:06:22 16:10:58,295.2
3,2026:06:22 16:10:58,675.6
1,2026:06:22 16:11:58,689.3
2,2026:06:22 16:11:58,49.0
3,2026:06:22 16:11:58,579.5
1,2026:06:22 16:12:58,413.4
2,2026:06:22 16:12:58,377.1
3,2026:06:22 16:12:58,392.9
1,2026:06:22 16:13:58,606.1
2,2026:06:22 16:13:58,302.0
3,2026:06:22 16:13:58,474.9
1,2026:06:22 16:14:58,611.8
2,2026:06:22 16:14:58,407.4
3,2026:06:22 16:14:58,668.1
1,2026:06:22 16:15:58,335.7
2,2026:06:22 16:15:58,128.1
3,2026:06:22 16:15:58,10.6
1,2026:06:22 16:16:58,254.3
2,2026:06:22 16:16:58,131.7
3,2026:06:22 16:16:58,533.1
1,2026:06:22 16:17:58,435.0
2,2026:06:22 16:17:58,534.4
3,2026:06:22 16:17:58,401.8
1,2026:06:22 16:18:58,762.0
2,2026:06:22 16:18:58,702.8
3,2026:06:22 16:18:58,611.9
1,2026:06:22 16:19:58,158.8
2,2026:06:22 16:19:58,97.1
3,2026:06:22 16:19:58,594.9
1,2026:06:22 16:20:58,222.6
2,2026:06:22 16:20:58,297.2
3,2026:06:22 16:20:58,240.6
1,2026:06:22 16:21:58,100.1
2,2026:06:22 16:21:58,688.3
3,2026:06:22 16:21:58,260.2
1,2026:06:22 16:22:58,176.8
2,2026:06:22 16:22:58,719.8
3,2026:06:22 16:22:58,463.2
1,2026:06:22 16:23:58,384.5
2,2026:06:22 16:23:58,369.5
3,2026:06:22 16:23:58,679.4
1,2026:06:22 16:24:58,457.7
2,2026:06:22 16:24:58,51.9
3,2026:06:22 16:24:58,677.2
1,2026:06:22 16:25:58,410.7
2,2026:06:22 16:25:58,157.3
3,2026:06:22 16:25:58,713.4
1,2026:06:22 16:26:58,148.4
2,2026:06:22 16:26:58,792.8
3,2026:06:22 16:26:58,601.2
1,2026:06:22 16:27:58,372.5
2,2026:06:22 16:27:58,228.2
3,2026:06:22 16:27:58,153.8
1,2026:06:22 16:28:58,417.8
2,2026:06:22 16:28:58,59.7
3,2026:06:22 16:28:58,714.6
1,2026:06:22 16:29:58,294.0
2,2026:06:22 16:29:58,181.5
3,2026:06:22 16:29:58,544.0
1,2026:06:22 16:30:58,589.0
2,2026:06:22 16:30:58,331.4
3,2026:06:22 16:30:58,297.3
1,2026:06:22 16:31:58,362.3
2,2026:06:22 16:31:58,67.3
3,2026:06:22 16:31:58,249.5
1,2026:06:22 16:32:58,632.1
2,2026:06:22 16:32:58,195.9
3,2026:06:22 16:32:58,35.1
1,2026:06:22 16:33:58,605.5
2,2026:06:22 16:33:58,124.2
3,2026:06:22 16:33:58,103.9
1,2026:06:22 16:34:58,660.0
2,2026:06:22 16:34:58,431.3
3,2026:06:22 16:34:58,745.7
1,2026:06:22 16:35:58,545.6
2,2026:06:22 16:35:58,335.7
3,2026:06:22 16:35:58,776.5
1,2026:06:22 16:36:58,562.6
2,2026:06:22 16:36:58,26.0
3,2026:06:22 16:36:58,66.9
1,2026:06:22 16:37:58,228.9
2,2026:06:22 16:37:58,416.3
3,2026:06:22 16:37:58,641.0
1,2026:06:22 16:38:58,7.0
2,2026:06:22 16:38:58,110.0
3,2026:06:22 16:38:58,102.1
1,2026:06:22 16:39:58,564.8
2,2026:06:22 16:39:58,271.1
3,2026:06:22 16:39:58,426.7
1,2026:06:22 16:40:58,66.0
2,2026:06:22 16:40:58,183.6
3,2026:06:22 16:40:58,355.0
1,2026:06:22 16:41:58,461.7
2,2026:06:22 16:41:58,689.8
3,2026:06:22 16:41:58,43.3
1,2026:06:22 16:42:58,215.3
2,2026:06:22 16:42:58,364.2
3,2026:06:22 16:42:58,252.8
1,2026:06:22 16:43:58,743.5
2,2026:06:22 16:43:58,425.2
3,2026:06:22 16:43:58,746.5
1,2026:06:22 16:44:58,703.9
2,2026:06:22 16:44:58,774.3
3,2026:06:22 16:44:58,119.9
1,2026:06:22 16:45:58,684.9
2,2026:06:22 16:45:58,545.2
3,2026:06:22 16:45:58,295.5
1,2026:06:22 16:46:58,16.8
2,2026:06:22 16:46:58,388.4
3,2026:06:22 16:46:58,681.7
1,2026:06:22 16:47:58,147.0
2,2026:06:22 16:47:58,377.2
3,2026:06:22 16:47:58,57.8
1,2026:06:22 16:48:58,749.9
2,2026:06:22 16:48:58,435.6
3,2026:06:22 16:48:58,746.3
1,2026:06:22 16:49:58,627.1
2,2026:06:22 16:49:58,541.7
3,2026:06:22 16:49:58,25.8
1,2026:06:22 16:50:58,552.8
2,2026:06:22 16:50:58,727.5
3,2026:06:22 16:50:58,681.7
1,2026:06:22 16:51:58,630.4
2,2026:06:22 16:51:58,585.9
3,2026:06:22 16:51:58,368.1
1,2026:06:22 16:52:58,453.5
2,2026:06:22 16:52:58,598.5
3,2026:06:22 16:52:58,281.8
1,2026:06:22 16:53:58,377.2
2,2026:06:22 16:53:58,799.0
3,2026:06:22 16:53:58,499.6
1,2026:06:22 16:54:58,393.8
2,2026:06:22 16:54:58,326.9
3,2026:06:22 16:54:58,250.4
1,2026:06:22 16:55:58,422.0
2,2026:06:22 16:55:58,689.0
3,2026:06:22 16:55:58,593.6
1,2026:06:22 16:56:58,280.0
2,2026:06:22 16:56:58,67.2
3,2026:06:22 16:56:58,413.5
1,2026:06:22 16:57:58,422.3
2,2026:06:22 16:57:58,624.0
3,2026:06:22 16:57:58,43.0
1,2026:06:22 16:58:58,427.2
2,2026:06:22 16:58:58,654.4
3,2026:06:22 16:58:58,649.0
1,2026:06:22 16:59:58,157.0
2,2026:06:22 16:59:58,386.3
3,2026:06:22 16:59:58,397.1
1,2026:06:22 17:00:58,726.2
2,2026:06:22 17:00:58,539.9
3,2026:06:22 17:00:58,164.6
1,2026:06:22 17:01:58,182.2
2,2026:06:22 17:01:58,289.1
3,2026:06:22 17:01:58,339.3
1,2026:06:22 17:02:58,412.1
2,2026:06:22 17:02:58,125.3
3,2026:06:22 17:02:58,601.4
1,2026:06:22 17:03:58,150.2
2,2026:06:22 17:03:58,242.1
3,2026:06:22 17:03:58,228.8
1,2026:06:22 17:04:58,69.2
2,2026:06:22 17:04:58,69.2
3,2026:06:22 17:04:58,127.9
1,2026:06:22 17:05:58,23.3
2,2026:06:22 17:05:58,524.5
3,2026:06:22 17:05:58,337.8
1,2026:06:22 17:06:58,684.6
2,2026:06:22 17:06:58,499.8
3,2026:06:22 17:06:58,277.0
1,2026:06:22 17:07:58,728.9
2,2026:06:22 17:07:58,770.2
3,2026:06:22 17:07:58,728.3
1,2026:06:22 17:08:58,287.5
2,2026:06:22 17:08:58,268.7
3,2026:06:22 17:08:58,19.6
1,2026:06:22 17:09:58,0.3
2,2026:06:22 17:09:58,434.9
3,2026:06:22 17:09:58,232.1
1,2026:06:22 17:10:58,713.3
2,2026:06:22 17:10:58,710.2
3,2026:06:22 17:10:58,157.5
1,2026:06:22 17:11:58,267.9
2,2026:06:22 17:11:58,413.4
3,2026:06:22 17:11:58,184.2
1,2026:06:22 17:12:58,251.9
2,2026:06:22 17:12:58,115.0
3,2026:06:22 17:12:58,333.2
1,2026:06:22 17:13:58,6.2
2,2026:06:22 17:13:58,563.7
3,2026:06:22 17:13:58,161.6
1,2026:06:22 17:14:58,602.7
2,2026:06:22 17:14:58,18.7
3,2026:06:22 17:14:58,260.0
1,2026:06:22 17:15:58,653.7
2,2026:06:22 17:15:58,536.4
3,2026:06:22 17:15:58,710.2
1,2026:06:22 17:16:58,369.0
2,2026:06:22 17:16:58,429.5
3,2026:06:22 17:16:58,479.3
1,2026:06:22 17:17:58,600.0
2,2026:06:22 17:17:58,460.3
3,2026:06:22 17:17:58,774.3
1,2026:06:22 17:18:58,441.9
2,2026:06:22 17:18:58,477.9
3,2026:06:22 17:18:58,653.0
1,2026:06:22 17:19:58,719.2
2,2026:06:22 17:19:58,441.1
3,2026:06:22 17:19:58,160.6
1,2026:06:22 17:20:58,254.9
2,2026:06:22 17:20:58,542.8
3,2026:06:22 17:20:58,653.4
1,2026:06:22 17:21:58,348.6
2,2026:06:22 17:21:58,525.7
3,2026:06:22 17:21:58,787.9
1,2026:06:22 17:22:58,13.3
2,2026:06:22 17:22:58,609.6
3,2026:06:22 17:22:58,731.3
1,2026:06:22 17:23:58,293.6
2,2026:06:22 17:23:58,389.2
3,2026:06:22 17:23:58,328.5
1,2026:06:22 17:24:58,53.4
2,2026:06:22 17:24:58,559.7
3,2026:06:22 17:24:58,1.0
1,2026:06:22 17:25:58,577.2
2,2026:06:22 17:25:58,40.9
3,2026:06:22 17:25:58,662.7
1,2026:06:22 17:26:58,391.8
2,2026:06:22 17:26:58,259.6
3,2026:06:22 17:26:58,168.3
1,2026:06:22 17:27:58,668.9
2,2026:06:22 17:27:58,252.9
3,2026:06:22 17:27:58,450.3
1,2026:06:22 17:28:58,504.1
2,2026:06:22 17:28:58,552.7
3,2026:06:22 17:28:58,229.6
1,2026:06:22 17:29:58,335.0
2,2026:06:22 17:29:58,242.1
3,2026:06:22 17:29:58,553.6
1,2026:06:22 17:30:58,3.6
2,2026:06:22 17:30:58,236.4
3,2026:06:22 17:30:58,654.3
1,2026:06:22 17:31:58,120.4
2,2026:06:22 17:31:58,654.7
3,2026:06:22 17:31:58,769.1
1,2026:06:22 17:32:58,680.0
2,2026:06:22 17:32:58,389.2
3,2026:06:22 17:32:58,533.5
1,2026:06:22 17:33:58,47.2
2,2026:06:22 17:33:58,38.0
3,2026:06:22 17:33:58,360.9
1,2026:06:22 17:34:58,465.4
2,2026:06:22 17:34:58,7.7
3,2026:06:22 17:34:58,19.2
1,2026:06:22 17:35:58,612.5
2,2026:06:22 17:35:58,729.3
3,2026:06:22 17:35:58,723.5
1,2026:06:22 17:36:58,232.1
2,2026:06:22 17:36:58,626.0
3,2026:06:22 17:36:58,712.2
1,2026:06:22 17:37:58,436.3
2,2026:06:22 17:37:58,665.9
3,2026:06:22 17:37:58,292.1
1,2026:06:22 17:38:58,639.8
2,2026:06:22 17:38:58,566.7
3,2026:06:22 17:38:58,480.0
1,2026:06:22 17:39:58,362.9
2,2026:06:22 17:39:58,703.3
3,2026:06:22 17:39:58,514.4
1,2026:06:22 17:40:58,259.5
2,2026:06:22 17:40:58,595.6
3,2026:06:22 17:40:58,179.4
1,2026:06:22 17:41:58,135.7
2,2026:06:22 17:41:58,251.5
3,2026:06:22 17:41:58,651.9
1,2026:06:22 17:42:58,705.5
2,2026:06:22 17:42:58,426.0
3,2026:06:22 17:42:58,210.6
1,2026:06:22 17:43:58,54.6
2,2026:06:22 17:43:58,73.6
3,2026:06:22 17:43:58,63.6
1,2026:06:22 17:44:58,233.6
2,2026:06:22 17:44:58,705.0
3,2026:06:22 17:44:58,140.1
1,2026:06:22 17:45:58,328.3
2,2026:06:22 17:45:58,550.7
3,2026:06:22 17:45:58,375.4
1,2026:06:22 17:46:58,10.4
2,2026:06:22 17:46:58,7.1
3,2026:06:22 17:46:58,680.1
1,2026:06:22 17:47:58,757.9
2,2026:06:22 17:47:58,532.3
3,2026:06:22 17:47:58,79.1
1,2026:06:22 17:48:58,716.9
2,2026:06:22 17:48:58,275.9
3,2026:06:22 17:48:58,405.3
1,2026:06:22 17:49:58,24.4
2,2026:06:22 17:49:58,209.6
3,2026:06:22 17:49:58,758.8
1,2026:06:22 17:50:58,372.9
2,2026:06:22 17:50:58,399.2
3,2026:06:22 17:50:58,174.3
1,2026:06:22 17:51:58,285.5
2,2026:06:22 17:51:58,419.0
3,2026:06:22 17:51:58,650.0
1,2026:06:22 17:52:58,691.8
2,2026:06:22 17:52:58,420.5
3,2026:06:22 17:52:58,410.2
1,2026:06:22 17:53:58,790.0
2,2026:06:22 17:53:58,514.6
3,2026:06:22 17:53:58,754.8
1,2026:06:22 17:54:58,388.4
2,2026:06:22 17:54:58,214.1
3,2026:06:22 17:54:58,576.6
1,2026:06:22 17:55:58,216.4
2,2026:06:22 17:55:58,284.4
3,2026:06:22 17:55:58,372.4
1,2026:06:22 17:56:58,420.4
2,2026:06:22 17:56:58,44.7
3,2026:06:22 17:56:58,398.9
1,2026:06:22 17:57:58,308.4
2,2026:06:22 17:57:58,599.5
3,2026:06:22 17:57:58,345.9
1,2026:06:22 17:58:58,256.0
2,2026:06:22 17:58:58,395.5
3,2026:06:22 17:58:58,565.2
1,2026:06:22 17:59:58,784.7
2,2026:06:22 17:59:58,369.6
3,2026:06:22 17:59:58,153.4
1,2026:06:22 18:00:58,217.7
2,2026:06:22 18:00:58,643.9
3,2026:06:22 18:00:58,70.6
1,2026:06:22 18:01:58,217.9
2,2026:06:22 18:01:58,691.5
3,2026:06:22 18:01:58,728.2
1,2026:06:22 18:02:58,627.3
2,2026:06:22 18:02:58,253.5
3,2026:06:22 18:02:58,741.4
1,2026:06:22 18:03:58,670.7
2,2026:06:22 18:03:58,172.1
3,2026:06:22 18:03:58,405.4
1,2026:06:22 18:04:58,453.1
